,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
94,0.76300001,LBN,3,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.571190118789673,64.83651733398438
171,0.73799998,THA,7,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297
95,0.495,LSO,4,1539.79,,7.400000095367432,4.053547382354736,,35.21265029907227
56,0.86299998,EST,1,19768.039,1.315999984741211,3.5,4.364778518676758,5.481639862060547,94.39128112792967
19,0.69800001,BWA,4,12770.73,,5.099999904632568,3.523580312728882,,
130,0.78299999,PLW,9,9392.5996,0.0179999992251396,,,,70.16300201416016
96,0.82800001,LVA,1,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
143,0.80500001,RUS,1,19063.689,143.4290008544922,4.5,3.476519107818604,3.861330032348633,
31,0.64600003,CPV,4,3972.6101,0.5120000243186951,8.600000381469727,3.891948699951172,4.99245023727417,69.1138687133789
97,0.42699999,LBR,4,488.26999,,6.599999904632568,3.472222328186035,2.757560014724731,
11,0.82300001,BHR,3,22498.48,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562
84,0.72899997,JAM,10,4668.77,2.799000024795532,7.800000190734863,3.711759328842163,6.024670124053955,73.51493835449219
109,0.77899998,MUS,4,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
152,0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.058158874511719,4.178609848022461,92.20523071289064
165,0.72299999,SUR,10,6049.1499,0.546999990940094,7.300000190734863,2.884561777114868,,58.39226913452148
178,0.68800002,TKM,1,13217.39,,5.099999904632568,,3.055900096893311,
170,0.625,TJK,1,3592.6499,8.131999969482422,6.300000190734863,3.840425491333008,5.232150077819824,83.22482299804688
35,0.84500003,CHL,2,15519.08,17.81900024414063,3.200000047683716,3.69163703918457,4.750120162963867,88.29785919189453
144,0.493,RWA,4,1440.39,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922
13,0.741,ARM,1,6451.9399,2.980000019073486,6.0,3.455313444137573,2.246599912643433,
32,0.347,CAF,4,690.03998,,6.900000095367432,,1.22393000125885,13.60074996948242
104,0.787,MYS,7,12284.27,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
116,0.414,MOZ,4,852.39001,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266
160,0.66500002,ZAF,4,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
77,0.68599999,IDN,7,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
63,0.44999999,GMB,4,1601.88,,7.699999809265137,4.276580810546875,2.767709970474243,
158,0.88800001,SVN,1,24456.561,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344
40,0.58999997,COG,4,2369.8401,,6.800000190734863,,,
92,0.662,KGZ,1,3010.24,5.894999980926514,6.400000095367432,2.853689193725586,5.527379989624023,80.17756652832031
164,0.48800001,SDN,4,,,8.800000190734863,,,
127,0.94800001,NOR,5,57634.77,5.156000137329102,1.600000023841858,5.048264026641846,7.373290061950684,95.2019271850586
190,0.76899999,VEN,2,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
175,0.83600003,ARE,3,20310.109,,2.5,5.27984094619751,,
176,0.72299999,TUN,3,6912.2798,,5.5,3.721023797988892,6.250360012054443,
98,0.71899998,LBY,3,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
184,0.90799999,GBR,5,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
76,0.61500001,IND,8,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
149,0.565,STP,4,2150.55,,7.900000095367432,,3.7568199634552,64.42681121826172
16,0.60399997,BTN,8,5639.02,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922
172,0.484,TGO,4,1036.28,6.928999900817871,7.300000190734863,,4.868460178375244,
90,0.89899999,KOR,6,33181.891,50.74700164794922,3.5,3.615234136581421,5.052110195159912,96.77686309814452
150,0.84500003,SAU,3,20872.711,30.77000045776367,3.700000047683716,4.109292984008789,,87.83480834960938
131,0.54799998,PAK,8,2855.55,186.1900024414063,7.0,3.381112337112427,2.464349985122681,41.17535018920898
113,0.70099998,MDA,1,4207.8701,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281
141,0.85500002,QAT,3,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
70,0.414,GIN,4,993.83002,11.74499988555908,7.199999809265137,2.425785064697266,3.208169937133789,31.78817939758301
108,0.51300001,MRT,4,2223.01,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723
122,0.59799999,VUT,9,2877.01,0.2569999992847443,,,4.910830020904541,49.49629974365234
36,0.73400003,CHN,6,9283.3799,,4.599999904632568,4.028250217437744,,
167,0.90899998,SWE,5,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
133,0.51499999,PNG,9,1693.54,6.880000114440918,7.099999904632568,,,
118,0.63700002,NAM,4,4521.29,,6.5,3.05289626121521,,
148,,SMR,5,42664.211,0.034000001847744,,,2.383729934692383,
185,0.51899999,TZA,4,1416.3,43.88000106811523,7.0,3.004210472106934,3.479140043258667,
